IVOL,S11
0.00101184,0.0
0.00117396,0.0
0.000513999,0.0
0.000816432,0.0
0.000931932,0.0
0.000889638,0.0
0.00091019,0.0
0.000979514,0.0
0.000889734,0.0
0.00119781,0.0
0.00121075,0.0
0.00121201,0.0
0.00114428,0.0
0.000787271,0.0
0.000775039,0.0
0.00113875,0.0
0.001272,0.0
0.00121163,0.0
0.000897397,0.0
0.000869081,0.0
0.00110976,0.0
0.00118294,0.0
0.00108362,0.0
0.000854843,0.0
0.000799181,0.0
0.000905909,0.0
0.000785817,0.0
0.0011212,0.0
0.000961552,0.0
0.000833261,0.0
0.000790085,0.0
0.000841217,0.0
0.000974671,0.0
0.000943518,0.0
0.000734348,0.0
0.000987353,0.0
0.000488633,0.0
0.000711194,0.0
